Section,Subsection,,Link(s),Title,Author(s),Affiliation,PMID,PMCID,PubDate,MeSH,Abstract,PubType
,,Zoster meningitis after Pfizer vaccination in a 39yoF: https://pubmed.ncbi.nlm.nih.gov/35186672/,https://pubmed.ncbi.nlm.nih.gov/35186672 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8837498/,"Zoster meningitis in an immunocompetent young patient post first dose of BNT162b2 mRNA COVID-19 vaccine, a case report.","Kerr, Colm; O'Neill, Susan; Szucs, Anna; Darmody, Oliver; Williamson, Claire; Bannan, Ciaran; Merry, Concepta","Department of Infectious Diseases, St James's Hospital, Dublin, Ireland.; School of Medicine, Trinity College Dublin, Dublin, Ireland.; Department of Infectious Diseases, St James's Hospital, Dublin, Ireland.; Department of Infectious Diseases, St James's Hospital, Dublin, Ireland.; Department of Infectious Diseases, St James's Hospital, Dublin, Ireland.; Department of Infectious Diseases, St James's Hospital, Dublin, Ireland.; Department of Infectious Diseases, St James's Hospital, Dublin, Ireland.; School of Medicine, Trinity College Dublin, Dublin, Ireland.; Department of Infectious Diseases, St James's Hospital, Dublin, Ireland.; School of Medicine, Trinity College Dublin, Dublin, Ireland.",35186672,PMC8837498,2022-01-01 00:00:00,,"Recently published observational data suggests an increased risk of herpes zoster infection post-vaccination with the BNT162b2 mRNA vaccine. We describe the case of VZV meningitis post BNT162b2 mRNA vaccination in a young immunocompetent patient. A 39-year-old patient with no medical history presented with a vesicular rash, headache, nausea and fever, days after receiving BNT162b2 mRNA vaccination. CSF analysis revealed a pleocytosis, and VZV DNA was confirmed by PCR testing. The patient received intravenous aciclovir with resolution of symptoms within 48 h. He was discharged after 14 days of treatment. Case reports of herpes zoster reactivation post vaccination and details of subsequent successful vaccination course completion have allowed us to recommend the patient receive his second dose of the BNT162b2 mRNA vaccine. At the time of writing, however, the patient has declined to receive further vaccination due to fears of an adverse event. To the best of our knowledge, this is the first reported case in a young patient of herpes zoster meningitis following COVID-19 mRNA vaccination. The sharing of clinical experiences and reporting of suspected side effects, particularly for vaccines that employ novel technology, increases knowledge of the safety profile of these vaccines and allows clinicians to better aid patients make informed decisions with regard to commencing and completing vaccination.",Vaccine Publication
,,1 case HSV meningitis and 2 cases herpes zoster ophthalmic following Pfizer: https://pubmed.ncbi.nlm.nih.gov/35097240/,https://pubmed.ncbi.nlm.nih.gov/35097240 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8789478/,Covid-19 vaccination and possible link to Herpes zoster.,"Lazzaro, D R; Ramachandran, R; Cohen, E; Galetta, S L","NYU Langone Medical Center: NYU Langone Health, United States.; NYU Langone Medical Center: NYU Langone Health, United States.; NYU Langone Medical Center: NYU Langone Health, United States.; NYU Langone Medical Center: NYU Langone Health, United States.",35097240,PMC8789478,2022-03-01 00:00:00,,PURPOSE: To report 3 otherwise healthy patients with Herpes zoster reactivation shortly after administration of a mRNA vaccine against the novel COVID-19 virus. OBSERVATIONS: Patient 1 is a 54 year old who presented with Herpes zoster meningitis complicated by enhancing nodular leptomeningeal lesions of the spinal cord. The subsequent two patients had Herpes zoster ophthalmicus of the cornea (Case 2) and eyelid (Case 3). All three presented within 2 weeks of receiving the Pfizer/BioNTech COVID-19 vaccine. CONCLUSIONS: Herpes zoster may be a side effect of m RNA vaccination against the Sars-CoV2 vaccine and requires further investigation.,Vaccine Publication
,,Ramsy Hunt syndrome following mRNA vaccination: https://pubmed.ncbi.nlm.nih.gov/34344559/,https://pubmed.ncbi.nlm.nih.gov/34344559 ,Ramsay Hunt syndrome following mRNA SARS-COV-2 vaccine.,"Rodríguez-Martín, Minerva; Corriols-Noval, Patricia; López-Simón, Eugenia; Morales-Angulo, Carmelo","Servicio de Otorrinolaringología, Hospital Universitario Marqués de Valdecilla, Santander, España. Electronic address: minerva.rmartin@gmail.com.; Servicio de Otorrinolaringología, Hospital Universitario Marqués de Valdecilla, Santander, España.; Servicio de Otorrinolaringología, Hospital Universitario Marqués de Valdecilla, Santander, España.; Servicio de Otorrinolaringología, Hospital Universitario Marqués de Valdecilla, Santander, España.",34344559,,2021-07-19 00:00:00,,,Vaccine Publication
,,L-lysine in herpesvirus reactivation after AstraZeneca vaccine: a minor literature review and case report: https://pubmed.ncbi.nlm.nih.gov/34962036/,https://pubmed.ncbi.nlm.nih.gov/34962036 ,L-lysine in herpesvirus reactivation after ChAdOx1 nCoV-19 vaccine (AZD1222): Minor literature review and case report.,"Pedrazini, Maria Cristina; da Silva, Mariliza Henrique; Groppo, Francisco Carlos","Department of Dental Sciences, São Leopoldo Mandic Research Center, Campinas, São Paulo State, Brazil.; Department of Biosciences, Piracicaba Dental School - FOP - UNICAMP - Campinas, São Paulo State -, Brazil.; Department of Infectology Diagnosis, IST/AIDS State Program, ITD/AIDS Reference and Training Center, São Paulo State, São Paulo, Brazil.; Department of Biosciences, Piracicaba Dental School - FOP - UNICAMP, Campinas, São Paulo State, Brazil.",34962036,,2022-03-01 00:00:00,*COVID-19; *ChAdOx1 nCoV-19; Humans; Lysine; SARS-CoV-2; Vaccination,,Vaccine Publication
,,A case series of Herpes Zoster following AstraZeneca: https://pubmed.ncbi.nlm.nih.gov/34363717/,https://pubmed.ncbi.nlm.nih.gov/34363717 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8447055/,Herpes zoster after ChAdOx1 nCoV-19 vaccine: a case series.,"Vastarella, M; Picone, V; Martora, F; Fabbrocini, G","Dermatology Unit, Department of Clinical Medicine and Surgery, University of Naples Federico II, Naples, Italy.; Dermatology Unit, Department of Clinical Medicine and Surgery, University of Naples Federico II, Naples, Italy.; Dermatology Unit, Department of Clinical Medicine and Surgery, University of Naples Federico II, Naples, Italy.; Dermatology Unit, Department of Clinical Medicine and Surgery, University of Naples Federico II, Naples, Italy.",34363717,PMC8447055,2021-12-01 00:00:00,*COVID-19; COVID-19 Vaccines; ChAdOx1 nCoV-19; *Herpes Zoster; *Herpes Zoster Vaccine/adverse effects; Humans; SARS-CoV-2; *Vaccines,,Vaccine Publication
,,2 cases of herpes zoster following Pfizer: https://pubmed.ncbi.nlm.nih.gov/34428545/,https://pubmed.ncbi.nlm.nih.gov/34428545 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8379763/,Herpes zoster after COVID vaccination.,"van Dam, C S; Lede, I; Schaar, J; Al-Dulaimy, M; Rösken, R; Smits, M","Department of Internal Medicine, Zaans Medical Centre, Zaandam, the Netherlands.; Department of Medical Microbiology, Comicro, Hoorn, the Netherlands.; Department of Pharmacology, Zaans Medical Centre, Zaandam, the Netherlands.; Department of Internal Medicine, Zaans Medical Centre, Zaandam, the Netherlands.; Department of Allergology and Immunology, Zaans Medical Centre, Zaandam, the Netherlands.; Department of Internal Medicine, Amsterdam UMC, location VUmc, the Netherlands.",34428545,PMC8379763,2021-10-01 00:00:00,"Adult; *COVID-19; COVID-19 Vaccines; *Herpes Zoster/diagnosis/drug therapy; Herpesvirus 3, Human; Humans; SARS-CoV-2; Vaccination","COVID-19 presents in various ways, but mainly as a pulmonary disease (Marzano, 2020). Skin manifestations have been reported, including reactivation of the",Vaccine Publication
,,2 cases of herpes zoster in healthy young adults following vaccination: https://pubmed.ncbi.nlm.nih.gov/34363257/,https://pubmed.ncbi.nlm.nih.gov/34363257 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8447007/,Herpes zoster after inactivated SARS-CoV-2 vaccine in two healthy young adults.,"Özdemir, A K; Kayhan, S; Çakmak, S K","Department of Dermatology, Ankara City Hospital, Ankara, Turkey.; Department of Dermatology, Ankara City Hospital, Ankara, Turkey.; Department of Dermatology, Ankara City Hospital, Ankara, Turkey.",34363257,PMC8447007,2021-12-01 00:00:00,"*COVID-19; COVID-19 Vaccines; *Herpes Zoster; *Herpes Zoster Vaccine/adverse effects; Herpesvirus 3, Human; Humans; SARS-CoV-2; Young Adult",,Vaccine Publication
,,3 cases of Herpes Zoster following Vaccination (Moderna and AstraZeneca):  https://pubmed.ncbi.nlm.nih.gov/34293165/,https://pubmed.ncbi.nlm.nih.gov/34293165 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8344552/,Herpes zoster following COVID-19 vaccine: a report of three cases.,"Chiu, H-H; Wei, K-C; Chen, A; Wang, W-H","Department of Dermatology, Chiu Hsiu Hui Dermatology Clinic, Pingtung, 900, Taiwan.; Department of Dermatology, Kaohsiung Veterans General Hospital, Kaohsiung, Taiwan.; Department of Psychology, Southern Illinois University, Carbondale, IL, USA.; Department of Cardiology, Kaohsiung Veterans General Hospital, Kaohsiung, Taiwan.; Department of Management, College of Management, I-Shou University, Kaohsiung, 840, Taiwan.",34293165,PMC8344552,2021-11-05 00:00:00,"*COVID-19; COVID-19 Vaccines; *Herpes Zoster; Herpesvirus 3, Human; Humans; SARS-CoV-2",,Vaccine Publication
,,3 cases of Herpes Zoster after covid vaccination in patients with chronic urticaria being treated with cyclosporine: https://pubmed.ncbi.nlm.nih.gov/34510694/  ,https://pubmed.ncbi.nlm.nih.gov/34510694 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8661977/,Recurrent herpes zoster after COVID-19 vaccination in patients with chronic urticaria being treated with cyclosporine-A report of 3 cases.,"Mohta, Alpana; Arora, Aakanksha; Srinivasa, Rekha; Mehta, Rajesh Dutt","Department of Dermatology, Venereology and Leprosy, Sardar Patel Medical College, Bikaner, Rajasthan, India.; Department of Dermatology, Venereology and Leprosy, Sardar Patel Medical College, Bikaner, Rajasthan, India.; Department of Dermatology, Venereology and Leprosy, Sardar Patel Medical College, Bikaner, Rajasthan, India.; Department of Dermatology, Venereology and Leprosy, Sardar Patel Medical College, Bikaner, Rajasthan, India.",34510694,PMC8661977,2021-11-01 00:00:00,COVID-19; *COVID-19 Vaccines/adverse effects; *Chronic Urticaria; Cyclosporine/therapeutic use; *Herpes Zoster/complications/drug therapy; Humans; SARS-CoV-2; Vaccination,,Vaccine Publication
,,"4 cases of Herpes Zoster (2 pfizer, 2 astrazeneca): https://pubmed.ncbi.nlm.nih.gov/34310754/",https://pubmed.ncbi.nlm.nih.gov/34310754 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8446950/,Herpes Zoster following SARS-CoV-2 vaccination - a series of four cases.,"Alpalhão, M; Filipe, P","Dermatology Department, Hospital de Santa Maria, Centro Hospitalar Universitário de Lisboa Norte, Lisbon, Portugal.; Dermatology Universitary Clinic, Faculdade de Medicina da Universidade de Lisboa, Lisbon, Portugal.; Dermatology Research Unit, Instituto de Medicina Molecular, University of Lisbon, Lisbon, Portugal.; Dermatology Department, Hospital de Santa Maria, Centro Hospitalar Universitário de Lisboa Norte, Lisbon, Portugal.; Dermatology Universitary Clinic, Faculdade de Medicina da Universidade de Lisboa, Lisbon, Portugal.; Dermatology Research Unit, Instituto de Medicina Molecular, University of Lisbon, Lisbon, Portugal.",34310754,PMC8446950,2021-11-01 00:00:00,*COVID-19; COVID-19 Vaccines; *Herpes Zoster; *Herpes Zoster Vaccine/adverse effects; Humans; SARS-CoV-2; Vaccination/adverse effects,,Vaccine Publication
,,6 cases of Herpes Zoster following Pfizer: https://pubmed.ncbi.nlm.nih.gov/33848321/,https://pubmed.ncbi.nlm.nih.gov/33848321 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8083327/,Herpes zoster following BNT162b2 mRNA COVID-19 vaccination in patients with autoimmune inflammatory rheumatic diseases: a case series.,"Furer, Victoria; Zisman, Devy; Kibari, Adi; Rimar, Doron; Paran, Yael; Elkayam, Ori","Rheumatology, Tel Aviv Sourasky Medical Center, Sackler Faculty of Medicine, Tel Aviv University, Tel Aviv, Israel.; Rheumatology Department, Carmel Medical Center, Haifa, Israel.; Rheumatology Department, Carmel Medical Center, Haifa, Israel.; Rheumatology Unit, Bnei Zion Medical Center, Haifa, Israel.; Infectious Diseases Departments, Tel Aviv Sourasky Medical Center, Sackler Faculty of Medicine, Tel Aviv University, Tel Aviv, Israel.; Rheumatology, Tel Aviv Sourasky Medical Center, Sackler Faculty of Medicine, Tel Aviv University, Tel Aviv, Israel.",33848321,PMC8083327,2021-10-09 00:00:00,"Adult; Autoimmune Diseases/*virology; BNT162 Vaccine; COVID-19/immunology/*prevention & control; COVID-19 Vaccines/*adverse effects; Female; Herpes Zoster/*chemically induced/virology; Herpesvirus 3, Human/*physiology; Humans; Middle Aged; Rheumatic Diseases/*virology; SARS-CoV-2; Virus Activation/*drug effects","OBJECTIVES: As global vaccination campaigns against COVID-19 disease commence, vaccine safety needs to be closely assessed. The safety profile of mRNA-based vaccines in patients with autoimmune inflammatory rheumatic diseases (AIIRD) is unknown. The objective of this report is to raise awareness of reactivation of herpes zoster (HZ) following the BNT162b2 mRNA vaccination in patients with AIIRD. METHODS: The safety of the BNT162b2 mRNA vaccination was assessed in an observational study monitoring post-vaccination adverse effects in patients with AIIRD (n = 491) and controls (n = 99), conducted in two rheumatology departments in Israel. RESULTS: The prevalence of HZ was 1.2% (n = 6) in patients with AIIRD compared with none in controls. Six female patients aged 49 ± 11 years with stable AIIRD: RA (n = 4), Sjogren's syndrome (n = 1), and undifferentiated connective disease (n = 1), developed the first in a lifetime event of HZ within a short time after the first vaccine dose in five cases and after the second vaccine dose in one case. In the majority of cases, HZ infection was mild, except a case of HZ ophthalmicus, without corneal involvement, in an RA patient treated with tofacitinib. There were no cases of disseminated HZ disease or postherpetic neuralgia. All but one patient received antiviral treatment with a resolution of",Vaccine Publication
,,COVID-19 vaccines and herpes infection: https://pubmed.ncbi.nlm.nih.gov/34786482/,https://pubmed.ncbi.nlm.nih.gov/34786482 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8585605/,COVID-19 vaccines and herpes infection.,"Tejada Cifuentes, Francisco; Lloret Callejo, Ángeles; Tirado Peláez, María José","Farmacéuticos de Atención Primaria. Gerencia de Atención Integrada de Albacete, Albacete, Spain.; Farmacéuticos de Atención Primaria. Gerencia de Atención Integrada de Albacete, Albacete, Spain.; Farmacéuticos de Atención Primaria. Gerencia de Atención Integrada de Albacete, Albacete, Spain.",34786482,PMC8585605,2021-12-24 00:00:00,,,Vaccine Publication
,,A case of varicella-zoster virus after Pfizer: https://pubmed.ncbi.nlm.nih.gov/34390376/,https://pubmed.ncbi.nlm.nih.gov/34390376 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8364300/,A case of reactivation of varicella-zoster virus after BNT162b2 vaccine second dose?,"Santovito, Luca Spiro; Pinna, Graziano","Department of Psychiatry, The Psychiatric Institute, College of Medicine, University of Illinois Chicago (UIC), 1601 West Taylor Street, Chicago, IL, 60612, USA.; Department of Psychiatry, The Psychiatric Institute, College of Medicine, University of Illinois Chicago (UIC), 1601 West Taylor Street, Chicago, IL, 60612, USA. gpinna@uic.edu.",34390376,PMC8364300,2021-09-01 00:00:00,"Adult; BNT162 Vaccine; COVID-19 Vaccines/administration & dosage/*adverse effects; Chickenpox/*etiology/pathology/*virology; *Herpesvirus 3, Human; Humans; Male; Skin/pathology; Vaccination/adverse effects",We report a case of itchy papulovesicular rash consistent with varicella-zoster virus reactivation after Pfizer-BioNTech vaccine second dose administration. While there have been cases of varicella-zoster virus reactivation due to,Vaccine Publication
,,Varicella zoster reactivation and mRNA vaccines as a trigger: https://pubmed.ncbi.nlm.nih.gov/34316507/,https://pubmed.ncbi.nlm.nih.gov/34316507 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8298014/,Varicella zoster virus reactivation and mRNA vaccines as a trigger.,"Lladó, Iñigo; Fernández-Bernáldez, Alberto; Rodríguez-Jiménez, Pedro","Department of Dermatology, Instituto de Investigación Sanitaria la Princesa, Hospital Universitario de La Princesa, Madrid, Spain.; Department of Dermatology, Instituto de Investigación Sanitaria la Princesa, Hospital Universitario de La Princesa, Madrid, Spain.; Department of Dermatology, Instituto de Investigación Sanitaria la Princesa, Hospital Universitario de La Princesa, Madrid, Spain.",34316507,PMC8298014,2021-09-01 00:00:00,,,Vaccine Publication
,,40 cases of HSV and VZV reactivation following mRNA vaccination: https://pubmed.ncbi.nlm.nih.gov/34487581/,https://pubmed.ncbi.nlm.nih.gov/34487581 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8656951/,Varicella-zoster and herpes simplex virus reactivation post-COVID-19 vaccination: a review of 40 cases in an International Dermatology Registry.,"Fathy, R A; McMahon, D E; Lee, C; Chamberlin, G C; Rosenbach, M; Lipoff, J B; Tyagi, A; Desai, S R; French, L E; Lim, H W; Thiers, B H; Hruza, G J; Fassett, M; Fox, L P; Greenberg, H L; Blumenthal, K; Freeman, E E","Department of Dermatology, University of Pennsylvania, Philadelphia, PA, USA.; Harvard Medical School, Massachusetts General Hospital, Boston, MA, USA.; Department of Dermatology, Las Vegas School of Medicine, University of Nevada, Las Vegas, NV, USA.; Medical Practice Evaluation Center, Mongan Institute, Massachusetts General Hospital, Boston, MA, USA.; Department of Dermatology, University of Pennsylvania, Philadelphia, PA, USA.; Department of Dermatology, University of Pennsylvania, Philadelphia, PA, USA.; Medical Practice Evaluation Center, Mongan Institute, Massachusetts General Hospital, Boston, MA, USA.; The University of Texas Southwestern Medical Center, Dallas, TX, USA.; Innovative Dermatology, Plano, TX, USA.; Department of Dermatology, University Hospital, Munich University of Ludwig Maximilian, Munich, Germany.; Dr. Philip Frost, Department of Dermatology and Cutaneous Surgery, University of Miami Miller School of Medicine, Miami, FL, USA.; Department of Dermatology, Henry Ford Health System, Detroit, MI, USA.; Department of Dermatology and Dermatologic Surgery, Medical University of SC, Charleston, SC, USA.; Department of Dermatology, St. Louis University, St. Louis, MO, USA.; Department of Dermatology, University of California San Francisco, San Francisco, CA, USA.; Department of Dermatology, University of California San Francisco, San Francisco, CA, USA.; Las Vegas Dermatology, Las Vegas, NV, USA.; Harvard Medical School, Massachusetts General Hospital, Boston, MA, USA.; Harvard Medical School, Massachusetts General Hospital, Boston, MA, USA.; Medical Practice Evaluation Center, Mongan Institute, Massachusetts General Hospital, Boston, MA, USA.",34487581,PMC8656951,2022-01-01 00:00:00,"*COVID-19; COVID-19 Vaccines; *Chickenpox; *Dermatology; *Herpes Simplex; *Herpes Zoster/prevention & control; Herpesvirus 3, Human; Humans; Registries; SARS-CoV-2; Simplexvirus; Vaccination",,Vaccine Publication

,,Autoimmune
,,New-onset autoimmune phenomena post COVID-19 vaccination: https://pubmed.ncbi.nlm.nih.gov/34957554/,https://pubmed.ncbi.nlm.nih.gov/34957554 ,New-onset autoimmune phenomena post-COVID-19 vaccination.,"Chen, Yue; Xu, Zhiwei; Wang, Peng; Li, Xiao-Mei; Shuai, Zong-Wen; Ye, Dong-Qing; Pan, Hai-Feng","Department of Epidemiology and Biostatistics, School of Public Health, Anhui Medical University, Hefei, China.; Inflammation and Immune Mediated Diseases Laboratory of Anhui Province, Hefei, China.; School of Public Health, Faculty of Medicine, University of Queensland, Brisbane, Qld, Australia.; Teaching Center of Preventive Medicine, School of Public Health, Anhui Medical University, Hefei, China.; Department of Rheumatology, The First Affiliated Hospital of University of Science and Technology of China, Hefei, China.; Department of Rheumatology and Immunology, The First Affiliated Hospital of Anhui Medical University, Hefei, China.; Department of Epidemiology and Biostatistics, School of Public Health, Anhui Medical University, Hefei, China.; Inflammation and Immune Mediated Diseases Laboratory of Anhui Province, Hefei, China.; Department of Epidemiology and Biostatistics, School of Public Health, Anhui Medical University, Hefei, China.; Inflammation and Immune Mediated Diseases Laboratory of Anhui Province, Hefei, China.",34957554,,2022-04-01 00:00:00,*Autoimmune Diseases/etiology; *COVID-19/prevention & control; COVID-19 Vaccines/adverse effects; Humans; SARS-CoV-2; Vaccination,"Coronavirus disease 2019 (COVID-19) pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has led to an unprecedented setback for global economy and health. Vaccination is one of the most effective interventions to substantially reduce severe disease and death due to SARS-CoV-2 infection. Vaccination programmes are being rolled out globally, but most of these vaccines have been approved without extensive studies on their side-effects and efficacy. Recently, new-onset autoimmune phenomena after COVID-19 vaccination have been reported increasingly (e.g. immune thrombotic thrombocytopenia, autoimmune liver diseases, Guillain-Barré syndrome, IgA nephropathy, rheumatoid arthritis and systemic lupus erythematosus). Molecular mimicry, the production of particular autoantibodies and the role of certain vaccine adjuvants seem to be substantial contributors to autoimmune phenomena. However, whether the association between",Vaccine Publication
,,American College of Rheumatology Guidance for COVID-19 vaccination: theoretical risk exists for AIIRD flare and potential risk for new onset autoimmunity: https://onlinelibrary.wiley.com/doi/10.1002/art.41877
,,Autoantibody Release in Children after Corona Virus mRNA Vaccination: A Risk Factor of Multisystem Inflammatory Syndrome? https://www.mdpi.com/2076-393X/9/11/1353/pdf
,,A Possible Role for Anti-idiotype Antibodies in SARS-CoV-2 Infection and Vaccination 


,,MIS-V Multisystem Inflammatory Syndrome,Miscellaneous:
,,"MIS, Pericarditis, and HLH in a 36yoF following Astrazeneca: https://pubmed.ncbi.nlm.nih.gov/34862234/",https://pubmed.ncbi.nlm.nih.gov/34862234 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8806304/,Lessons of the month 3: Haemophagocytic lymphohistiocytosis following COVID-19 vaccination (ChAdOx1 nCoV-19).,"Cory, Philippa; Lawrence, Hannah; Abdulrahim, Hunar; Mahmood-Rao, Hamzah; Hussein, Azza; Gane, Jennie","University Hospitals of Derby and Burton NHS Foundation Trust, Derby, UK philippa.cory@nhs.net.; University Hospitals of Derby and Burton NHS Foundation Trust, Derby, UK.; University Hospitals of Derby and Burton NHS Foundation Trust, Derby, UK.; University Hospitals of Derby and Burton NHS Foundation Trust, Derby, UK.; University Hospitals of Derby and Burton NHS Foundation Trust, Derby, UK.; University Hospitals of Derby and Burton NHS Foundation Trust, Derby, UK.",34862234,PMC8806304,2021-11-01 00:00:00,"Adult; *COVID-19; COVID-19 Vaccines; ChAdOx1 nCoV-19; Female; Humans; *Lymphohistiocytosis, Hemophagocytic/diagnosis/drug therapy; SARS-CoV-2; Vaccination","A 36-year-old woman presented to hospital 9 days after receiving her first dose of the ChAdOx1 nCoV-19 vaccine with fever, myalgia and a sore throat. She was previously fit and well with no prior vaccine reactions.There was no clinical response to initial treatment with intravenous (IV) antibiotics. Microbiology tests including for COVID-19 were negative. At day 5, she developed pleuritic pain and a pericardial rub. Echocardiography and subsequent cardiac magnetic resonance imaging showed evidence of constrictive pericarditis. Computed tomography revealed gross hepatomegaly and moderate splenomegaly. Blood tests showed raised inflammatory markers, deranged clotting, low platelets and a marked hyperferritinaemia.A presumptive diagnosis of a multi-system inflammatory disorder secondary to recent COVID-19 vaccination was made and high-dose IV methylprednisolone initiated. Following a high 'H score' of 70%-80% a diagnosis of secondary haemophagocytic lymphohistiocytosis (HLH) was made. She was treated with IV immunoglobulin with subsequent clinical response.HLH is a rare syndrome of acute and rapidly progressive systemic inflammation characterised by cytopenias, excessive cytokine production and hyperferritinaemia. The adult form has multiple triggers, including recent vaccination. This case prompts awareness among clinicians of HLH as a rare complication of COVID-19 vaccination but should not discourage individuals from vaccination.",Vaccine Publication
,,Multisystem inflammatory syndrome in an adult following Pfizer (MIS-V): https://pubmed.ncbi.nlm.nih.gov/34326117/,https://pubmed.ncbi.nlm.nih.gov/34326117 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8323360/,Multisystem inflammatory syndrome in an adult following the SARS-CoV-2 vaccine (MIS-V).,"Nune, Arvind; Iyengar, Karthikeyan P; Goddard, Christopher; Ahmed, Ashar E","Department of Rheumatology, Southport and Ormskirk Hospital NHS Trust, Southport, Sefton, UK Arvind.nune@nhs.net.; Trauma & Orthopaedics, Southport and Ormskirk Hospital NHS Trust, Southport, UK.; Intensive Care, Southport and Ormskirk Hospital NHS Trust, Southport, Sefton, UK.; Department of Rheumatology, Southport and Ormskirk Hospital NHS Trust, Southport, Sefton, UK.",34326117,PMC8323360,2021-07-29 00:00:00,Adult; *COVID-19/prevention & control; COVID-19 Vaccines/*adverse effects; Female; Humans; *Systemic Inflammatory Response Syndrome/chemically induced,"SARS-CoV-2 vaccine roll-out has been successful in the UK and other parts of the world; however, there are increasing concerns about adverse events. A 44-year-old woman presented to a UK hospital with left upper arm pain at the vaccine site a couple of days after receiving the Pfizer-BioNTech mRNA vaccine, which progressed to fever, diarrhoea and abdominal pain over the next few days. She had an erythematous rash on the chest with subcutaneous oedema. Her C reactive protein was 539 mg/L, white cell count of 17×10(9)/L (1.8-7.5), troponin-T of 1013 ng/L and creatine kinase of 572 u/L. She developed an unprovoked pulmonary embolism with acute kidney injury. After administration of intravenous methylprednisolone, the muscle oedema, skin rashes and acute kidney injury resolved. Although multisystem inflammatory syndrome (MIS) is described in children (MIS-C) and adults (MIS-A) following SARS-CoV-2 infection, we highlight the first reported",Vaccine Publication
,,Multisystem inflammatory syndrome in a 12yo male following Pfizer: https://pubmed.ncbi.nlm.nih.gov/34978781/,https://pubmed.ncbi.nlm.nih.gov/34978781 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8828314/,A Case of Multisystem Inflammatory Syndrome in a 12-Year-old Male After COVID-19 mRNA Vaccine.,"Yalçinkaya, Rumeysa; Öz, Fatma Nur; Polat, Meltem; Uçan, Berna; Teke, Türkan Aydin; Kaman, Ayşe; Özdem, Suna; Savaş Şen, Zeynep; Cinni, Rüveyda Gümüşer; Tanir, Gönül","From the Department of Pediatric Infectious Disease.; From the Department of Pediatric Infectious Disease.; From the Department of Pediatric Infectious Disease.; Department of Pediatric Radiology, Dr. Sami Ulus Maternity and Children's Health and Diseases Training and Research Hospital, Ankara, Turkey.; From the Department of Pediatric Infectious Disease.; From the Department of Pediatric Infectious Disease.; From the Department of Pediatric Infectious Disease.; From the Department of Pediatric Infectious Disease.; From the Department of Pediatric Infectious Disease.; From the Department of Pediatric Infectious Disease.",34978781,PMC8828314,2022-03-01 00:00:00,"COVID-19/*complications/diagnosis/drug therapy/etiology/prevention & control; COVID-19 Vaccines/*adverse effects; Child; Diagnosis, Differential; Drug Therapy, Combination; Glucocorticoids/therapeutic use; Humans; Immunoglobulins, Intravenous/therapeutic use; Male; Methylprednisolone/therapeutic use; SARS-CoV-2; Systemic Inflammatory Response Syndrome/diagnosis/drug therapy/*etiology; Vaccines, Synthetic/*adverse effects; mRNA Vaccines/*adverse effects","The pathophysiology of multisystem inflammatory syndrome (MIS) in children (MIS-C) is unknown. It occurs several weeks after COVID-19 infection or exposure; however, MIS is rarely reported after COVID-19 vaccination, and cases are mostly in adults. Herein, we present a 12-year-old male who had no prior COVID-19 infection or exposure and developed MIS-C after his first dose of COVID-19 mRNA vaccine.",Vaccine Publication
,,Multisystem inflammatory Syndrome in a 12 year old boy after Pfizer: https://pubmed.ncbi.nlm.nih.gov/34955518/,https://pubmed.ncbi.nlm.nih.gov/34955518 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8828311/,Multisystem Inflammatory Syndrome in a 12-Year-old Boy After mRNA-SARS-CoV-2 Vaccination.,"Abdelgalil, Abobakr A; Saeedi, Fajr A","From the Department of Pediatrics, Cairo University, Cairo, Egypt.; Department of Pediatrics, Faculty of Medicine in Rabigh, King Abdulaziz University, Jeddah, Saudi Arabia.",34955518,PMC8828311,2022-03-01 00:00:00,"COVID-19/*complications/diagnosis/drug therapy/etiology/prevention & control; COVID-19 Vaccines/*adverse effects; Child; Diagnosis, Differential; Humans; Immunoglobulins, Intravenous/therapeutic use; Male; SARS-CoV-2; Systemic Inflammatory Response Syndrome/diagnosis/drug therapy/*etiology; mRNA Vaccines/*adverse effects",Multisystem inflammatory syndrome in children (MIS-C) following SARS-CoV-2 infection is well known. We describe a 12-year-old child developing MIS-C after receiving 2 doses of mRNA COVID-19 vaccines without clinical evidence of COVID-19 infection. A possible association between the SARS-CoV-2 vaccine and MIS-C cannot be excluded.,Vaccine Publication
